Date,State,Dose 1,Dose 2,Total Doses
2021-03-01,Andaman and Nicobar,6581,2556,9137
2021-03-02,Andaman and Nicobar,6912,2589,9501
2021-03-03,Andaman and Nicobar,6912,2589,9501
2021-03-04,Andaman and Nicobar,6912,2589,9501
2021-03-05,Andaman and Nicobar,8392,2727,11119
2021-03-06,Andaman and Nicobar,8977,2865,11842
2021-03-07,Andaman and Nicobar,9187,2865,12052
2021-03-08,Andaman and Nicobar,9890,2998,12888
2021-03-09,Andaman and Nicobar,10433,3037,13470
2021-03-10,Andaman and Nicobar,10749,3048,13797
2021-03-11,Andaman and Nicobar,11228,3060,14288
2021-03-12,Andaman and Nicobar,11729,3145,14874
2021-03-13,Andaman and Nicobar,11921,3282,15203
2021-03-14,Andaman and Nicobar,11921,3282,15203
2021-03-15,Andaman and Nicobar,12157,3426,15583
2021-03-16,Andaman and Nicobar,12632,3562,16194
2021-03-17,Andaman and Nicobar,12632,3562,16194
2021-03-18,Andaman and Nicobar,13102,3969,17071
2021-03-19,Andaman and Nicobar,13517,3989,17506
2021-03-20,Andaman and Nicobar,13785,4347,18132
2021-03-21,Andaman and Nicobar,13785,4347,18132
2021-03-22,Andaman and Nicobar,14161,4829,18990
2021-03-23,Andaman and Nicobar,14751,5001,19752
2021-03-24,Andaman and Nicobar,14934,5068,20002
2021-03-25,Andaman and Nicobar,15377,5295,20672
2021-03-26,Andaman and Nicobar,15639,5352,20991
2021-03-27,Andaman and Nicobar,15989,5372,21361
2021-03-28,Andaman and Nicobar,15989,5372,21361
2021-03-29,Andaman and Nicobar,15989,5372,21361
2021-03-30,Andaman and Nicobar,16480,5608,22088
2021-03-31,Andaman and Nicobar,16480,5608,22088
2021-04-01,Andaman and Nicobar,17208,5666,22874
2021-04-02,Andaman and Nicobar,17669,5198,22867
2021-04-03,Andaman and Nicobar,18190,5242,23432
2021-04-04,Andaman and Nicobar,18833,5243,24076
2021-04-05,Andaman and Nicobar,19927,5290,25217
2021-04-06,Andaman and Nicobar,21509,5341,26850
2021-04-07,Andaman and Nicobar,22919,5350,28269
2021-04-08,Andaman and Nicobar,25396,5403,30799
2021-04-09,Andaman and Nicobar,27698,5519,33217
2021-04-10,Andaman and Nicobar,29877,5570,35447
2021-04-11,Andaman and Nicobar,32059,5612,37671
2021-04-12,Andaman and Nicobar,36572,5713,42285
2021-04-13,Andaman and Nicobar,43069,5832,48901
2021-04-14,Andaman and Nicobar,49657,5941,55598
2021-04-15,Andaman and Nicobar,54819,6079,60898
2021-04-16,Andaman and Nicobar,61411,6323,67734
2021-04-17,Andaman and Nicobar,67540,6568,74108
2021-04-18,Andaman and Nicobar,71357,6879,78236
2021-04-19,Andaman and Nicobar,75722,7363,83085
2021-04-20,Andaman and Nicobar,78989,7937,86926
2021-04-21,Andaman and Nicobar,80901,8171,89072
2021-04-22,Andaman and Nicobar,83377,8600,91977
2021-04-23,Andaman and Nicobar,85201,8965,94166
2021-04-24,Andaman and Nicobar,86810,9299,96109
2021-04-25,Andaman and Nicobar,87865,9527,97392
2021-04-26,Andaman and Nicobar,89290,9819,99109
2021-04-27,Andaman and Nicobar,90471,10117,100588
2021-04-28,Andaman and Nicobar,91394,10376,101770
2021-04-29,Andaman and Nicobar,92417,10581,102998
2021-04-30,Andaman and Nicobar,93493,10881,104374
2021-05-01,Andaman and Nicobar,94050,11113,105163
2021-05-02,Andaman and Nicobar,94126,11160,105286
2021-05-03,Andaman and Nicobar,94599,11604,106203
2021-05-04,Andaman and Nicobar,94939,11941,106880
2021-05-05,Andaman and Nicobar,95314,12442,107756
2021-05-06,Andaman and Nicobar,96017,12812,108829
2021-05-07,Andaman and Nicobar,96702,13166,109868
2021-05-08,Andaman and Nicobar,97202,13455,110657
2021-05-09,Andaman and Nicobar,97284,13456,110740
2021-05-10,Andaman and Nicobar,97829,13805,111634
2021-05-11,Andaman and Nicobar,98215,14015,112230
2021-05-12,Andaman and Nicobar,98564,14245,112809
2021-05-13,Andaman and Nicobar,98828,14618,113446
2021-05-14,Andaman and Nicobar,98837,14618,113455
2021-05-15,Andaman and Nicobar,99084,14910,113994
2021-05-16,Andaman and Nicobar,99085,14921,114006
2021-05-17,Andaman and Nicobar,99514,14926,114440
2021-05-18,Andaman and Nicobar,99792,14929,114721
2021-05-19,Andaman and Nicobar,100295,14941,115236
