Name of State / UT,state_code,abbreviation_code,state_helpline,covid_portal_url,covid_facilities,state_donation_url,Total Confirmed cases,Active,Cured/Discharged/Migrated,Death,whatsapp_chatbot_url,fb_chatbot_url,epass_url,last_confirmed_covid_cases,last_cured_discharged,last_death,last_active_covid_cases,diff_confirmed_covid_cases,diff_cured_discharged,diff_death,diff_active_covid_cases,as_on,updated_on
Andaman and Nicobar,35,AN,03192-232102,https://andaman.nic.in/,https://dhs.andaman.gov.in/NewEvents/249.jpeg,https://andaman.gov.in/,9844,290,9425,129,https://wa.me/919013151515,https://www.facebook.com/MyGovArunachalPradesh/,https://southandaman.nic.in/whos-who/,9826,9362,129,335,18,63,0,-45,"03 Feb 2022, 08:00 IST (GMT+5:30)",1643913011
Andhra Pradesh,28,AP,"104, 8297104104",http://hmfw.ap.gov.in/,http://hmfw.ap.gov.in/COVID-19%20IEC/COVID-19%20Hospitals.pdf,https://apcmrf.ap.gov.in/,2288566,100622,2173313,14631,https://wa.me/918297104104?text=Hi,https://m.me/ArogyaAndhra,https://www.spandana.ap.gov.in/,2282583,2162033,14620,105930,5983,11280,11,-5308,"03 Feb 2022, 08:00 IST (GMT+5:30)",1643913011
Arunachal Pradesh,12,AR,"104, 0360-2292777, 0360-2292774, 0360-2292775",http://covid19.itanagarsmartcity.in,http://nrhmarunachal.gov.in/covid_19_IEC.html,http://covid19.itanagarsmartcity.in/,62893,2375,60228,290,,,,62656,59871,288,2497,237,357,2,-122,"03 Feb 2022, 08:00 IST (GMT+5:30)",1643913011
Assam,18,AS,104,https://covid19.assam.gov.in/,https://nhm.assam.gov.in/portlet-innerpage/dedicated-covid-hospitals,https://covid19.assam.gov.in/donate/,718920,16525,695896,6499,,,https://eservices.assam.gov.in/directApply.do?serviceId=1533,717892,690603,6481,20808,1028,5293,18,-4283,"03 Feb 2022, 08:00 IST (GMT+5:30)",1643913011
Bihar,10,BR,104,https://covid19.bihar.gov.in/,http://statehealthsocietybihar.org/,http://www.cmrf.bih.nic.in/users/quickdonate.aspx,825424,3753,809445,12226,https://wa.me/919431025555,,,824625,807677,12224,4724,799,1768,2,-971,"03 Feb 2022, 08:00 IST (GMT+5:30)",1643913011
Chandigarh,4,CH,9779558282,http://chandigarh.gov.in/health_covid19.htm,http://chdcovid19.in/,http://chandigarh.gov.in/,90008,2590,86289,1129,,,http://admser.chd.nic.in/dpc/,89644,85675,1125,2844,364,614,4,-254,"03 Feb 2022, 08:00 IST (GMT+5:30)",1643913011
Chhattisgarh,22,CT,"104, 0771-2235091",http://gad.cg.gov.in/cgcorona/,http://cghealth.nic.in/cghealth17/,http://cmrf.cg.gov.in/,1131868,21475,1096510,13883,,,https://epass.cgcovid19.in/,1129104,1094073,13869,21162,2764,2437,14,313,"03 Feb 2022, 08:00 IST (GMT+5:30)",1643913011
Dadra and Nagar Haveli and Daman and Diu,26,DN,104,http://dnh.nic.in/Departments/COVID19.aspx,http://dnh.nic.in/Docs/COVID19/COVID19Health_Fac08052020.pdf,http://dnh.nic.in/Departments/COVID19.aspx,11359,103,11252,4,,,http://dnh.nic.in/Departments/COVID19.aspx,11337,11234,4,99,22,18,0,4,"03 Feb 2022, 08:00 IST (GMT+5:30)",1643913011
Delhi,7,DL,"011-22307145, 1800-111-747, 8800007722",https://corona.delhi.gov.in,https://coronabeds.jantasamvad.org/,https://lgcmrelieffund.delhi.gov.in/Home.aspx,1835979,14870,1795190,25919,https://wa.me/918800007722?text=Hi,,https://epass.jantasamvad.org/epass/init/,1832951,1790511,25892,16548,3028,4679,27,-1678,"03 Feb 2022, 08:00 IST (GMT+5:30)",1643913011
Goa,30,GA,104,https://www.goa.gov.in/covid-19/,https://nhm.goa.gov.in/corona-virus-important-links-iec/,https://www.goa.gov.in/covid-19/,240471,7051,229712,3708,,,https://goaonline.gov.in/,239816,228247,3699,7870,655,1465,9,-819,"03 Feb 2022, 08:00 IST (GMT+5:30)",1643913011
